Transaction_ID,Customer_ID,Gender,Age,Category,Quantity,Unit_Price,Discount,Date,Store_Region,Online_Or_Offline,Payment_Method,Total_Amount
TXN-00000,CUST-6873,Male,18,Grocery,7,47.84,0.05,2020-01-01,North,Offline,Cash,318.14
TXN-00001,CUST-6873,Female,31,Clothing,2,183.55,0.11,2020-01-01,North,Offline,Credit Card,326.72
TXN-00002,CUST-8720,Female,35,Clothing,3,307.25,0.17,2020-01-01,South,Online,Credit Card,765.05
TXN-00003,CUST-2489,Male,51,Grocery,8,29.76,0.04,2020-01-01,South,Online,Debit Card,228.56
TXN-00004,CUST-4973,Female,55,Clothing,6,267.87,0.14,2020-01-01,West,Online,Debit Card,1382.21
TXN-00005,CUST-7773,Female,53,Electronics,2,328.9,0.05,2020-01-01,North,Online,Credit Card,624.91
TXN-00006,CUST-3292,Female,31,Electronics,3,378.31,0.04,2020-01-01,West,Online,Credit Card,1089.53
TXN-00007,CUST-0624,Female,64,Clothing,3,138.84,0.23,2020-01-01,East,Offline,Cash,320.72
TXN-00008,CUST-4581,Male,57,Beauty,6,167.22,0.09,2020-01-01,West,Online,Digital Wallet,913.02
TXN-00009,CUST-9462,Male,40,Grocery,13,49.47,0.02,2020-01-01,South,Online,Digital Wallet,630.25
TXN-00010,CUST-5405,Female,19,Electronics,3,256.22,0.03,2020-01-02,East,Online,Digital Wallet,745.6
TXN-00011,CUST-2965,Female,33,Grocery,10,51.42,0.03,2020-01-02,East,Online,Credit Card,498.77
TXN-00012,CUST-2717,Male,48,Grocery,12,56.86,0.04,2020-01-02,North,Offline,Cash,655.03
TXN-00013,CUST-7382,Male,66,Electronics,2,169.96,0.01,2020-01-02,East,Offline,Debit Card,336.52
TXN-00014,CUST-5952,Male,60,Furniture,2,995.69,0.17,2020-01-02,West,Online,Debit Card,1652.85
TXN-00015,CUST-7457,Male,55,Furniture,3,699.46,0.07,2020-01-03,West,Offline,Debit Card,1951.49
TXN-00016,CUST-5345,Male,57,Grocery,7,55.82,0.02,2020-01-03,North,Offline,Credit Card,382.93
TXN-00017,CUST-4213,Male,53,Beauty,2,101.03,0.11,2020-01-03,West,Offline,Digital Wallet,179.83
TXN-00018,CUST-6316,Female,54,Furniture,2,933.55,0.1,2020-01-03,East,Offline,Digital Wallet,1680.39
